ride_date,num_rides,avg_duration_min,day,day_of_week,month,obs_date,temp_f,max_temp_f,min_temp_f,wind_speed_knots,precip_in
2015-03-26,14954,11.843317284115733,26,Thursday,3,2015-03-26,45.2,57.0,32.0,4.4,0.05
2015-02-02,1459,15.347703906785473,2,Monday,2,2015-02-02,29.6,36.0,19.9,11.2,0.84
2015-11-05,43006,15.287937729619122,5,Thursday,11,2015-11-05,62.0,71.1,55.0,3.3,0.0
2015-02-21,3157,9.848833280540596,21,Saturday,2,2015-02-21,20.1,28.9,3.0,8.0,0.01
2015-02-08,6662,11.115628439907937,8,Sunday,2,2015-02-08,33.0,36.0,26.1,8.9,0.01
2015-10-09,37283,21.96473459753776,9,Friday,10,2015-10-09,66.9,78.1,60.1,7.7,0.0
2015-11-10,21585,13.018756080611537,10,Tuesday,11,2015-11-10,56.0,60.1,46.0,9.6,0.0
2015-04-01,20146,13.21556388364936,1,Wednesday,4,2015-04-01,39.8,51.1,34.0,8.5,0.14
2015-01-14,13086,10.383807122115236,14,Wednesday,1,2015-01-14,22.0,36.0,17.1,9.1,0.0
2015-12-23,14817,13.37780364896178,23,Wednesday,12,2015-12-23,54.2,62.1,50.0,6.1,0.18
2015-06-20,23580,16.728049194232405,20,Saturday,6,2015-06-20,69.5,84.9,64.0,8.3,0.0
2015-06-21,25926,18.059541901308855,21,Sunday,6,2015-06-21,75.0,90.0,64.0,9.4,0.25
2015-07-01,37539,14.627503396467672,1,Wednesday,7,2015-07-01,76.4,84.9,70.0,9.7,0.35
2015-03-04,7514,11.673711294472543,4,Wednesday,3,2015-03-04,38.9,46.9,24.1,8.0,0.73
2015-04-07,16262,11.673802935268313,7,Tuesday,4,2015-04-07,50.6,60.1,39.0,7.7,0.01
2015-05-31,19586,18.385298172163793,31,Sunday,5,2015-05-31,74.6,86.0,66.0,9.6,0.0
2015-06-13,29980,19.425647098065387,13,Saturday,6,2015-06-13,80.5,88.0,71.1,10.1,0.0
2015-05-25,28164,20.0718174501728,25,Monday,5,2015-05-25,72.5,82.9,55.9,8.8,0.0
2015-05-04,32066,16.651919998336762,4,Monday,5,2015-05-04,66.5,82.0,51.1,7.1,0.0
2015-09-02,43225,15.4317061885483,2,Wednesday,9,2015-09-02,80.2,88.0,75.0,5.6,0.0
2015-08-20,39280,14.207862780040728,20,Thursday,8,2015-08-20,81.0,87.1,75.9,11.0,0.0
2015-10-29,45358,16.44813189881976,29,Thursday,10,2015-10-29,67.6,73.9,51.1,13.5,1.26
2015-08-30,32913,18.77698376528019,30,Sunday,8,2015-08-30,79.1,90.0,70.0,7.4,0.0
2015-04-06,23391,15.09333860601656,6,Monday,4,2015-04-06,46.7,62.1,39.0,7.8,0.0
2015-01-30,9015,10.857901645405803,30,Friday,1,2015-01-30,33.9,37.0,21.0,10.8,0.07
2015-02-17,4784,10.820833333333342,17,Tuesday,2,2015-02-17,19.4,28.0,3.9,6.6,0.11
2015-03-11,19561,13.397417480360575,11,Wednesday,3,2015-03-11,46.4,60.1,33.1,7.5,0.44
2015-01-09,7930,10.61096469104666,9,Friday,1,2015-01-09,24.0,33.1,8.1,13.3,0.0
2015-01-19,10710,11.528778400248989,19,Monday,1,2015-01-19,39.4,43.0,28.9,12.3,1.98
2015-12-16,35643,13.286628978106966,16,Wednesday,12,2015-12-16,50.0,64.0,45.0,10.8,0.11
2015-07-23,42175,14.830885595732065,23,Thursday,7,2015-07-23,77.1,86.0,71.1,9.2,0.0
2015-09-03,42879,13.919988417018429,3,Thursday,9,2015-09-03,82.6,93.0,75.0,4.9,0.0
2015-08-28,41755,15.329681076118629,28,Friday,8,2015-08-28,73.1,82.9,66.0,5.3,0.0
2015-02-13,7642,10.384181715083312,13,Friday,2,2015-02-13,17.6,39.9,9.0,18.2,0.0
2015-06-11,37400,14.35285383244207,11,Thursday,6,2015-06-11,80.2,91.9,66.0,8.8,0.0
2015-10-01,34719,18.449217527386537,1,Thursday,10,2015-10-01,59.4,78.1,54.0,13.6,0.06
2015-08-31,40119,14.14580830363004,31,Monday,8,2015-08-31,82.7,91.9,72.0,7.5,0.08
2015-06-06,26334,18.09425837320574,6,Saturday,6,2015-06-06,65.7,73.9,55.9,7.3,0.55
2015-03-28,1107,12.674495633845227,28,Saturday,3,2015-03-28,37.6,46.0,33.1,10.7,0.28
2015-01-05,14506,10.630196700216002,5,Monday,1,2015-01-05,42.5,57.0,28.9,18.2,0.13
